date_of_stop,time_of_stop,agency,subagency,description,location,latitude,longitude,accident,belts,personal_injury,property_damage,fatal,commercial_license,hazmat,commercial_vehicle,alcohol,work_zone,state,vehicletype,year,make,model,color,violation_type,charge,article,contributed_to_accident,race,gender,driver_city,driver_state,dl_state,arrest_type,geolocation
2013-04-22,17:27:00,MCP,"6th district, Gaithersburg / Montgomery Village",OWNER KNOWINGLY PERMITTING MOTOR VEH. TO BE DRIVEN ON HWY. BY UNAUTHORIZED PERSON,MONTGOMERY VILLAGE @ WALKERS CHOICE,39.1655317333333,-77.2049591833333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2013,TOYOTA,HIGHLANDER,GRAY,Citation,16-305(a),Transportation Article,false,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1655317333333, -77.2049591833333)"
2014-01-18,22:22:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GRANDVIEW AVE/RANDOLPH RD,,,false,false,false,true,false,false,false,false,false,false,MD,02 - Automobile,2005,FORD,EXPEDITION,BLACK,Citation,21-801(b),Transportation Article,true,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,
2012-10-14,00:20:00,MCP,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,CALVERTON BOULEVARD AT GALWAY DRIVE,39.0563627333333,-76.94571295,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,NISS,350Z,BLACK,Citation,13-411(f),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0563627333333, -76.94571295)"
2015-02-24,08:22:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,10009 RENFREW ROAD,39.0197683333333,-77.0240283333333,false,false,false,false,false,false,false,false,false,false,MD,05 - Light Duty Truck,2007,LINCOLN,MARK LT,CREAM,Citation,21-201(a1),Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0197683333333, -77.0240283333333)"
2012-05-24,00:12:00,MCP,"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 30 MPH ZONE,OLD GEORGETOWN RD / HUNTINGTON PKWY,38.9933613166667,-77.1084641666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,SUBARU,OUTBACK,WHITE,Citation,21-801.1,Transportation Article,false,WHITE,M,BETHESDA,MD,MD,Q - Marked Laser,"(38.9933613166667, -77.1084641666667)"
2012-09-23,22:02:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,MUNCASTER MILL RD AT IVY OAK RD,39.15684195,-77.1584252666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2002,MITSUBISHI,GALANT,RED,Citation,13-401(h),Transportation Article,false,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.15684195, -77.1584252666667)"
2014-03-31,21:59:00,MCP,"3rd district, Silver Spring",PROVISIONAL DRIVER UNDER 18 DRIVING M/V W/PASSENGER UNDER 18,FLOWER AVE AT ARLISS ST,,,false,false,false,false,false,false,false,false,false,false,FL,02 - Automobile,2001,FORD,FOCUS,GOLD,Citation,21-1123(a2),Transportation Article,false,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,
2012-12-23,04:20:00,MCP,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,VEIRS MILL RD/ARBUTUS AVE,39.07075835,-77.1626646333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,CHEVY,BLAZER,GREEN,Citation,21-902(a1),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.07075835, -77.1626646333333)"
2013-05-15,15:33:00,MCP,"1st district, Rockville",DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,DEBORAH DR AND LARKMEADE LA,39.0327133333333,-77.165715,false,false,false,true,false,false,false,false,false,false,MD,05 - Light Duty Truck,1992,GRUMAN,MAILTRUCK,WHITE,Citation,21-202(m),Transportation Article,true,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0327133333333, -77.165715)"
2014-03-17,18:46:00,MCP,"1st district, Rockville",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,355 / TWINBROOK,39.0581066666667,-77.1207683333333,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,2014,HYUN,SONATA,SILVER,Citation,21-202(h1),Transportation Article,false,HISPANIC,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.0581066666667, -77.1207683333333)"
2012-07-26,09:24:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,CASHELL / MUSIC GROVE,39.1303875333333,-77.0825689166667,false,true,false,false,false,false,false,false,false,false,MD,02 - Automobile,1999,HONDA,2S,BLACK,Citation,16-112(c),Transportation Article,false,OTHER,M,OLNEY,MD,MD,Q - Marked Laser,"(39.1303875333333, -77.0825689166667)"
2015-10-20,11:00:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,RIDGE ROAD AND KINGS VALLEY,39.2539316666667,-77.2276,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,GMC,YUKON,BLACK,Citation,13-409(b),Transportation Article,false,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,"(39.2539316666667, -77.2276)"
2014-06-18,11:17:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,BELLS MILL RD AND GAINSBOROUGH RD,39.0308166666667,-77.1736366666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2012,FIAT,500,RED,Citation,16-115(g),Transportation Article,false,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0308166666667, -77.1736366666667)"
2012-05-26,13:04:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,ROCKVILLE PIKE / MARINELLI RD,39.0468823333333,-77.11331485,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,BMW,4S,SILVER,Citation,22-412.3(b),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0468823333333, -77.11331485)"
2013-05-04,09:26:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED PROPERTY DAMAGE,MUNCASTER MILL ROAD / LAYTONIA DRIVE,39.1537189166667,-77.1537621,false,false,false,true,false,false,false,false,false,false,MD,02 - Automobile,1997,HOND,4S,BEIGE,Citation,20-103(b),Transportation Article,true,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1537189166667, -77.1537621)"
2014-10-04,12:17:00,MCP,"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,DARNESTOWN RD @ SHADY GROVE RD,39.0919066666667,-77.1977266666667,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,1999,HONDA,CIVIC,GREEN,Citation,16-112(c),Transportation Article,false,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.0919066666667, -77.1977266666667)"
2012-10-02,14:42:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,EAST GUDE DRIVE/ROTHGEB DRIVE,39.0963843166667,-77.1348425666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,MERZ,2S,SILVER,Citation,13-401(h),Transportation Article,false,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0963843166667, -77.1348425666667)"
2013-04-28,10:15:00,MCP,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,MIDLAND RD AND NEW HAMPSHIRE AVE,39.0795595333333,-77.0013209,false,false,false,false,false,false,false,false,false,false,MD,05 - Light Duty Truck,1995,FORD,F-150,BLUE,Citation,13-411(a),Transportation Article,false,BLACK,M,MOUNT RAINIER,MD,MD,A - Marked Patrol,"(39.0795595333333, -77.0013209)"
2013-12-16,22:26:00,MCP,"2nd district, Bethesda",DRIVING VEH. ON HWY. WITH SUSPENDED REGISTRATION,WISCONSIN AVE AND CHASE AVE,38.98998,-77.0949166666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2011,MAZDA,2,SILVER,Citation,13-401(h),Transportation Article,false,BLACK,M,TEMPLE HILLS,MD,MD,A - Marked Patrol,"(38.98998, -77.0949166666667)"
2013-06-29,19:49:00,MCP,"5th district, Germantown",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,RAMP SB 270 FROM DEMOCRACY BLVD,39.019945,-77.1445883333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2002,HONDA,ODESSEY,SILVER,Citation,22-412.3(c),Transportation Article,false,BLACK,F,CABIN JOHN,MD,MD,A - Marked Patrol,"(39.019945, -77.1445883333333)"
2014-09-13,14:04:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,WESTBARD AVENUE @ MASSACHUSETTS AVENUE,38.95847,-77.1094866666667,false,true,false,true,false,false,false,false,false,false,VA,02 - Automobile,1998,CHEVROLET,CAVALIER,GOLD,Citation,13-411(d),Transportation Article,false,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,"(38.95847, -77.1094866666667)"
2012-11-02,10:34:00,MCP,"4th district, Wheaton",FALSIFYING/ATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENT/PLATE ISSUED BY AD.,GEORGIA AVE/ HEATHFIELD,39.087488,-77.0802112166667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,1996,OLDS,4S,WHITE,Citation,14-110(b),Transportation Article,false,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.087488, -77.0802112166667)"
2012-09-03,00:45:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",LAYHILL RD & BRIGGS RD,,,false,false,false,false,false,false,false,false,false,false,MD,05 - Light Duty Truck,2001,FORD,TK EXPLPORER,WHITE,Citation,22-201.1,Transportation Article,false,HISPANIC,M,WHEATON,MD,MD,A - Marked Patrol,
2014-09-23,20:03:00,MCP,"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,UNIVERSITY BLVD E / CARROLL AVE,38.9933416666667,-76.9921866666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,1992,HONDA,2S,BLACK,Citation,16-112(c),Transportation Article,false,HISPANIC,M,HYATTSVILLE,MD,XX,A - Marked Patrol,"(38.9933416666667, -76.9921866666667)"
2013-05-28,00:13:00,MCP,"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,PINEY BRANCH RD/CARROLL AVE,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,TOYOTA,COROLLA,TAN,Citation,16-101(a),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,
2014-07-25,08:08:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,MONTGOMERY VILLAGE AVE/ WALKERS CHOICE,39.1646616666667,-77.2044116666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2013,NISSAN,ALTIMA,BROWN,Citation,13-411(d),Transportation Article,false,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1646616666667, -77.2044116666667)"
2013-05-29,00:11:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY TRAFFIC DEVICE ON MAKING TURN,UNIVERSITY BLVD AND GEORGIA,39.0388999833333,-77.0510690333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,TOYT,4S,BLACK,Citation,21-601(d),Transportation Article,false,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0388999833333, -77.0510690333333)"
2013-09-12,09:44:00,MCP,"2nd district, Bethesda",DISPLAYING  REG. PLATE ISSUED FOR OTHER VEHICLE,N/B ROCKVILLE PIKE @ MARINELLI RD,39.0551775666667,-77.1170414833333,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,1994,DODGE,PICK UP,BLACK,Citation,13-411(g),Transportation Article,false,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0551775666667, -77.1170414833333)"
2013-08-15,18:49:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,RANDOLPH RD/ GLENALLAN AVE,39.0604532166667,-77.0448813333333,false,false,true,false,false,false,false,false,false,false,MD,02 - Automobile,2008,HUMMER,H2 TK,"BLUE, LIGHT",Citation,21-801(b),Transportation Article,false,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,"(39.0604532166667, -77.0448813333333)"
2013-07-13,10:40:00,MCP,"3rd district, Silver Spring",RECKLESS DRIVING,29 SOUTH/ BLACKBURN,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2007,PONT,4S,BLACK,Citation,21-901.1(a),Transportation Article,false,HISPANIC,F,BOWIE,MD,MD,Q - Marked Laser,
2014-09-24,09:49:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,28/124,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,FORD,CV,WHITE,Citation,16-303(c),Transportation Article,false,BLACK,M,WALDORF,MD,MD,A - Marked Patrol,
2012-09-27,14:29:00,MCP,"1st district, Rockville",FAILURE TO STOP AT STOP SIGN,SELFRIDGE RD AT GRIDLEY RD,39.0569738666667,-77.0844302333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2009,FORD,FOCUS,GRAY,Citation,21-707(a),Transportation Article,false,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0569738666667, -77.0844302333333)"
2013-11-15,22:02:00,MCP,"3rd district, Silver Spring",DRIVER CHANGING LANES WHEN UNSAFE,15421 OLD COLUMBIA PIKE,39.1087366666667,-76.9357983333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2002,SUBA,SW,GREEN,Citation,21-309(b),Transportation Article,true,WHITE,F,BURTONSVILLE,MD,MD,A - Marked Patrol,"(39.1087366666667, -76.9357983333333)"
2013-02-28,16:26:00,MCP,"2nd district, Bethesda",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,DEMOCRACY BLVD @ I270,39.0215724666667,-77.144043,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,HONDA,PILOT,GRAY,Citation,16-101(a),Transportation Article,false,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0215724666667, -77.144043)"
2013-03-26,21:54:00,MCP,"5th district, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,MIDDLEBROOK RD./  GERMANTOWN RD.,39.1782615166667,-77.2668119666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,CADI,CEVILLE,TAN,Citation,16-303(c),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1782615166667, -77.2668119666667)"
2015-01-23,02:12:00,MCP,"3rd district, Silver Spring",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,NB 270 / SHADY GORVE RD,39.1845433333333,-77.2628466666667,false,false,false,false,false,false,false,false,false,false,DC,02 - Automobile,2013,CHRYSLER,200,WHITE,Citation,21-902(a2),Transportation Article,false,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.1845433333333, -77.2628466666667)"
2013-03-08,11:47:00,MCP,"5th district, Germantown",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,SB I270 @ FATHER HURLEY BLVD,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2006,FORD,MUSTANG,BLACK,Citation,16-113(h),Transportation Article,false,WHITE,M,BOWIE,MD,MD,A - Marked Patrol,
2013-05-27,19:56:00,MCP,"4th district, Wheaton",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,NEW HAMPSHIRE AVENUE/BRIGGS CHANEY RD,39.1076366666667,-76.9996133333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2010,VOLKSWAGON,GTI,BLUE,Citation,22-406(i1),Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1076366666667, -76.9996133333333)"
2013-07-24,10:35:00,MCP,"1st district, Rockville",KNOWINGLY USING FALSIFIED VEH. REG. PLATE,MD355/TWINBROOK PWY,,,false,false,false,false,false,false,false,false,false,false,XX,02 - Automobile,1999,LEXUS,ES300,WHITE,Citation,14-110(g),Transportation Article,false,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,
2015-12-07,15:32:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FENTON ST/WAYNE AVE,38.9946533333333,-77.0241533333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2007,TOYT,4S,SILVER,Citation,21-201(a1),Transportation Article,false,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9946533333333, -77.0241533333333)"
2014-06-01,09:33:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,CONNECTICUT AVE/JONES BRIDGE RD,39.000225,-77.0787833333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2006,TOYOTA,HIGHLANDER,SILVER,Citation,21-201(a1),Transportation Article,false,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.000225, -77.0787833333333)"
2013-08-01,12:37:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,SB I270 @ MUDDY BRANCH RD,39.1287896,-77.2040808666667,false,false,false,false,false,false,false,false,false,false,MI,02 - Automobile,2012,DODGE,DURANGO,BLACK,Citation,21-801.1,Transportation Article,false,OTHER,M,BOYDS,MD,MD,A - Marked Patrol,"(39.1287896, -77.2040808666667)"
2013-05-15,08:16:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,PLYERS MILL RD & METROPOLITAN AVE,39.0295059666667,-77.0751125666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2006,CHEVY,IMPALA,BLACK,Citation,22-412.3(b),Transportation Article,false,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,"(39.0295059666667, -77.0751125666667)"
2014-02-02,11:10:00,MCP,"2nd district, Bethesda",FAILURE TO STOP AT STOP SIGN,SECURITY LA/WOODGLEN DR,39.042445,-77.1134916666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2008,BMW,335XI,BLACK,Citation,21-707(a),Transportation Article,false,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.042445, -77.1134916666667)"
2014-07-01,20:09:00,MCP,"1st district, Rockville",KNOWINGLY DRIVING UNINSURED VEHICLE,NORBECK RD @ E GUDE DR,39.0886333333333,-77.1321966666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,CHEVY,PICK UP,MAROON,Citation,17-107,Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0886333333333, -77.1321966666667)"
2015-06-09,00:13:00,MCP,"4th district, Wheaton",ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH. BY FLEEING ON FOOT,VEIRS MILL RD/EAST AVE,39.0584566666667,-77.04797,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2002,CHEVROLET,BLAZER,BLACK,Citation,21-904(c2),Transportation Article,false,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.0584566666667, -77.04797)"
2014-02-15,23:10:00,MCP,"3rd district, Silver Spring",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GEORGIA AVE AT WAYNE AVE,38.9898833333333,-77.0245066666667,false,false,false,true,false,false,false,false,false,false,MD,02 - Automobile,1993,NISSAN,SENTRA,TAN,Citation,21-801(b),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(38.9898833333333, -77.0245066666667)"
2013-10-01,17:56:00,MCP,"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,MIDDLEBROOK RD/270 RAMP,39.1778383333333,-77.2428333333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2007,MITS,TK,SILVER,Citation,21-801.1,Transportation Article,false,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1778383333333, -77.2428333333333)"
2015-02-26,20:39:00,MCP,"5th district, Germantown",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,SB I270/FATHER HURLEY BLVD,39.1870166666667,-77.2570733333333,false,false,false,false,false,false,false,false,false,false,VA,05 - Light Duty Truck,2011,GMC,TRUCK,WHITE,Citation,21-801.1,Transportation Article,false,WHITE,M,FREDERICKSBURG,VA,VA,A - Marked Patrol,"(39.1870166666667, -77.2570733333333)"
2014-04-23,01:31:00,MCP,"5th district, Germantown",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,WATERS LANDING @ SHADYSIDE WAY,39.18447,-77.2628983333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,NISSAN,350 Z 2 DOOR,SILVER,Citation,16-113(h),Transportation Article,false,WHITE,M,HAYMARKET,VA,VA,A - Marked Patrol,"(39.18447, -77.2628983333333)"
2015-05-21,22:45:00,MCP,"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,753 SILVER SPRING AVE,38.9918533333333,-77.0212433333333,false,false,false,false,false,false,false,false,false,false,NY,02 - Automobile,2003,LNDR,SUV,GREEN,Citation,16-116(a),Transportation Article,false,ASIAN,M,FLUSHING,NY,NY,A - Marked Patrol,"(38.9918533333333, -77.0212433333333)"
2013-02-21,02:42:00,MCP,"3rd district, Silver Spring",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,NEW HAMPSHIRE AVE / ROUTE 200 (ICC),39.09081385,-76.9998619666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2010,HONDA,ACCORD,WHITE,Citation,21-1104(c),Transportation Article,false,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.09081385, -76.9998619666667)"
2013-02-18,04:29:00,MCP,"3rd district, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,NEW HAMPSHIRE @ LOCKWOOD DRIVE,39.06806355,-77.1616696833333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,INFI,4S,SILVER,Citation,22-219(a),Transportation Article,false,BLACK,M,WASHINGTON,DC,MD,A - Marked Patrol,"(39.06806355, -77.1616696833333)"
2014-12-11,20:45:00,MCP,"5th district, Germantown",DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,18480 STONE HOLLOW DR,39.158405,-77.2673766666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,LEXUS,TK,WHITE,Citation,16-101(a),Transportation Article,false,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol,"(39.158405, -77.2673766666667)"
2014-03-07,20:06:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,10800 GEORGIA AVENUE,39.0324466666667,-77.048795,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2007,FORD,EXPLORER,BLACK,Citation,13-401(h),Transportation Article,false,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol,"(39.0324466666667, -77.048795)"
2015-01-16,10:04:00,MCP,"5th district, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,118 AT DAWSON FARM,39.17197,-77.27714,false,false,false,false,false,false,false,false,false,false,DC,02 - Automobile,2013,DODGE,DURANGO,SILVER,Citation,16-303(g),Transportation Article,false,BLACK,M,GERMANTOWN,MD,DC,Q - Marked Laser,"(39.17197, -77.27714)"
2014-07-26,01:51:00,MCP,Headquarters and Special Operations,FAILURE OF DRIVER DRIVING BELOW NORMAL SPEED OF TRAFFIC TO KEEP RIGHT,S/B 270 @ RT 28,39.1496766666667,-77.2336683333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,SATURN,SUV,RED,Citation,21-301(b),Transportation Article,false,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.1496766666667, -77.2336683333333)"
2014-02-28,23:54:00,MCP,"5th district, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,RIDGE ROAD @ BRINK ROAD,,,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,FORD,EXPLORER,WHITE,Citation,16-303(c),Transportation Article,false,BLACK,F,DAMASCUS,MD,MD,A - Marked Patrol,
2013-10-01,10:11:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,COLESVILLE @ GEORGIA,38.9958864666667,-77.02863905,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2001,PONT,2S,SILVER,Citation,13-401(h),Transportation Article,false,WHITE,M,COLLEGE PARK,MD,MD,A - Marked Patrol,"(38.9958864666667, -77.02863905)"
2015-04-03,13:10:00,MCP,"3rd district, Silver Spring",FAILURE MOTOR VEH. DRIVER TO FURNISH WRITTEN I.D. INFO. ON UNATTENDED DAMAGED VEH.,650 UNIVERSITY BLVD E IN  PL 7-11,39.0001783333333,-77.0429233333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,LINC,TK,BLACK,Citation,20-105(c),Transportation Article,false,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0001783333333, -77.0429233333333)"
2014-02-03,18:48:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,PARKLAWN DR AND NEBEL ST,,,false,false,false,false,false,false,false,false,false,false,MD,05 - Light Duty Truck,1987,TOYO,TRUCK,GRAY,Citation,21-902(a1),Transportation Article,false,HISPANIC,M,HYATTSVILLE,MD,XX,A - Marked Patrol,
