date_of_stop,time_of_stop,agency,subagency,description,location,latitude,longitude,accident,belts,personal_injury,property_damage,fatal,commercial_license,hazmat,commercial_vehicle,alcohol,work_zone,state,vehicletype,year,make,model,color,violation_type,charge,article,contributed_to_accident,race,gender,driver_city,driver_state,dl_state,arrest_type,geolocation
2014-01-12,20:56:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",199 E. JEFFERSON ST.,39.0694816666667,-77.162145,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2013,NISSAN,SENTRA,GRAY,Citation,16-303(h),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0694816666667, -77.162145)"
2014-02-14,20:10:00,MCP,"1st district, Rockville",FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY,GATEWAY CENTER DR @ CLARKSBURG RD,39.2348434333333,-77.28153995,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,CADI,STS,BLACK,Citation,21-311(1),Transportation Article,false,WHITE,M,POINT OF ROCK,MD,WV,A - Marked Patrol,"(39.2348434333333, -77.28153995)"
2014-04-09,22:22:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,MAHAN RD ON NEW HAMPSHIRE AVE,39.03408,-76.986785,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,CHEVROLET,IMPALA,WHITE,Citation,16-115(g),Transportation Article,false,BLACK,M,LANDOVER,MD,MD,A - Marked Patrol,"(39.03408, -76.986785)"
2012-12-06,12:34:00,MCP,Headquarters and Special Operations,PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,FLOWER AVE @ PINEY BRANCH,38.9984182,-77.00384695,false,false,false,false,false,false,false,false,false,false,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(c),Transportation Article,false,HISPANIC,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(38.9984182, -77.00384695)"
2012-12-07,18:36:00,MCP,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,RT 255/REDLAND ROAD,39.1154527666667,-77.1658159833333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2011,TOYOTA,TACOMA,GREEN,Citation,21-902(a1),Transportation Article,true,WHITE,M,BALTIMORE,MD,MD,A - Marked Patrol,"(39.1154527666667, -77.1658159833333)"
2012-09-22,21:24:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,29 N/B AT FAIRLAND RD,39.0067167333333,-76.8914382,false,false,false,false,false,false,false,false,false,false,VA,02 - Automobile,2013,CADILLAC,CTS,SILVER,Citation,21-201(a1),Transportation Article,false,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.0067167333333, -76.8914382)"
2013-07-23,23:15:00,MCP,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,108 / OLD BALTIMORE RD,39.1516659166667,-77.0706278,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,SATURN,LS,SILVER,Citation,13-411(a),Transportation Article,false,BLACK,F,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.1516659166667, -77.0706278)"
2013-10-28,17:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE ROAD,EMORY GROVE RD @ MEADOW GREEN WAY,39.1299347666667,-77.1670501333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2003,HONDA,ACCORD,GOLD,Citation,21-404(b),Transportation Article,true,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1299347666667, -77.1670501333333)"
2012-10-27,19:13:00,MCP,"3rd district, Silver Spring",FAILURE TO STOP AT STOP SIGN,BROADBIRCH AND PLUM ORCHARD,39.0551488666667,-76.9555356666667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2011,DODGE,CALIBER,ORANGE,Citation,21-707(a),Transportation Article,false,BLACK,M,OXON HILL,MD,MD,A - Marked Patrol,"(39.0551488666667, -76.9555356666667)"
2014-02-11,17:38:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,S/B NEW HAMPSHIRE AVE @ BRIGGS CHANEY,39.1093716666667,-76.9977683333333,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2006,HOND,TK,"BLUE, DARK",Citation,13-401(h),Transportation Article,false,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1093716666667, -76.9977683333333)"
2015-12-17,13:15:00,MCP,"5th district, Germantown","FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED DAMAGE,PROPERTY",19916 CRYSTAL ROCK DR,39.2227933333333,-77.25369,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2005,TOYOTA,CAMRY,BLACK,Citation,20-103(b),Transportation Article,false,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.2227933333333, -77.25369)"
2013-03-20,08:53:00,MCP,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,29/LOCKWOOD,39.0306766666667,-77.005105,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2004,ACUR,4S,GOLD,Citation,21-801.1,Transportation Article,false,OTHER,M,TAKOMA PARK,MD,MD,Q - Marked Laser,"(39.0306766666667, -77.005105)"
2015-05-12,08:26:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,WOOTTON PKWY @ PRESERVE PKWY,39.067535,-77.14941,false,false,false,false,false,false,false,false,false,false,VA,28 - Other,2002,FORD,ECONOLINE,WHITE,Citation,16-303(d),Transportation Article,false,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.067535, -77.14941)"
2012-09-08,07:47:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CRABBS BRANCH @ REDLAND ROAD,39.12328285,-77.16089935,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,2000,LEXUS,RX300,WHITE,Citation,16-303(h),Transportation Article,false,WHITE,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.12328285, -77.16089935)"
2013-01-12,08:53:00,MCP,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,355 X SOUTH DR,38.9992781833333,-77.0970100666667,false,false,false,false,false,true,false,true,false,false,MD,10 - Transit Bus,2012,GILL,HY,BLUE,Citation,21-402(a),Transportation Article,false,BLACK,F,FORESTVILLE,MD,MD,A - Marked Patrol,"(38.9992781833333, -77.0970100666667)"
2012-10-15,10:20:00,MCP,"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,UNIVERSITY BLVD/BUCKINGHAM DRIVE,39.0095341,-76.9994632166667,false,false,false,false,false,false,false,false,false,false,MD,02 - Automobile,1999,PONTIAC,GRAND PRIX,BLACK,Citation,16-116(a),Transportation Article,false,WHITE,F,COLLEGE PARK,MD,MD,A - Marked Patrol,"(39.0095341, -76.9994632166667)"
